id	year	title_eng	genre	translator_signature	translator_name	title	first_line	prose_or_verse	txt_version	source_title	place	volume	pages	source_type
"1"	1815	"The Corsair"	"Поэмы"	"б.п."	"NA"	"Морский разбойник. В трех песнях. Сочинение Лорда Бирона (The Corsair, A Tale, и проч., и проч.). Лондон. 1814. Извлечение"	"NA"	"проза"	"NA"	"Российский Музеум"	"NA"	"№ 1"	"С. 37-42"	"периодика"
"2"	1820	"From the Portuguese"	"Стихи"	"б.п., с пометой: Варшава"	"ВяземскийПА"	"Португальская песня"	"Когда меня прижав к груди рукою гибкой"	"стихи"	"да"	"Сын отечества"	"NA"	"Ч. 60. № 12"	"С. 268"	"периодика"
"502"	1820	"NA"	"Стихи"	"К. П. Б."	"NA"	"Прощание"	"Прости - хотя бы навеки - прости"	"NA"	"NA"	"Соревнователь"	"NA"	"Ч. 12. Кн. 11."	"С. 197-200"	"периодика"
"503"	1820	"NA"	"Стихи"	"И. Козлов"	"КозловИИ"	"Португальская песня"	"В кипеньи нежности сердечной"	"стихи"	"NA"	"Сын отечества"	"NA"	"№ 17"	"NA"	"периодика"
"3"	1820	"The Siege of Corinth"	"Поэмы"	"К."	"КаченовскийМТ"	"Осада Коринфа. Пер. с фр. [в прозе] К[ачановского]"	"NA"	"проза"	"NA"	"Вестник Европы"	"NA"	"Ч. 113. № 20; Ч. 114. № 21"	"С. 241-262; С. 3-23"	"периодика"
"5"	1821	"Oscar of Alva"	"Поэмы"	"NN"	"NA"	"Оскар Альвский. Повесть. Пер. с фр. NN [в прозе]"	"NA"	"проза"	"NA"	"Вестник Европы"	"NA"	"Ч. 121. № 21"	"С. 16-31"	"периодика"
"6"	1821	"The Prisoner of Chillon"	"Поэмы"	"Н. Ф."	"NA"	"Отрывок из поэмы: Шиллонский узник Лорда Байрона [в прозе, с фр.]"	"NA"	"проза"	"NA"	"Соревнователь"	"NA"	"Ч. 15. Кн. 3"	"С. 299-310"	"периодика"
"7"	1821	"Mazeppa"	"Поэмы"	"К."	"КаченовскийМТ"	"Мазепа. Пер. с фр. [в прозе]  К[ачановского]"	"NA"	"проза"	"NA"	"Вестник Европы"	"NA"	"Ч. 116. № 1"	"С. 3-32"	"периодика"
"8"	1821	"The Death of Calmar and Orla"	"Поэмы"	"б.п."	"КаченовскийМТ"	"Калмар и Орла. Пер. с фр.(Из сочинения Лорда Байрона) (подражание Оссиану)"	"NA"	"проза"	"NA"	"Вестник Европы"	"NA"	"Ч. 117. № 5"	"С. 3-12"	"периодика"
"9"	1821	"The Giaour"	"Поэмы"	"б.п."	"КаченовскийМТ"	"Джяур. Отрывки из одной Турецкой повести [в прозе]"	"NA"	"проза"	"NA"	"Вестник Европы"	"NA"	"Ч. 119. № 15, 16, 17"	"С. 165-179; С. 249-269; С. 3-20"	"периодика"
"10"	1821	"The Bride of Abydos"	"Поэмы"	"б.п."	"КаченовскийМТ"	"Абидосская невеста. Турецкая повесть [в прозе]"	"NA"	"проза"	"NA"	"Вестник Европы"	"NA"	"Ч. 120. № 18, 19, 20"	"С. 81-105; С. 161-179; С. 241-258"	"периодика"
"11"	1821	"Irner"	"Поэмы"	"О. Сомов"	"СомовОМ"	"К Мирзе: Отрывок из поэмы: Ирнер, сочинение Лорда Бейрона. Пер. О. Сомова"	"Надежда, дщерь небес, вчера одно мгновенье"	"стихи"	"да"	"Благонамеренный"	"NA"	"Ч. 15. № 16"	"С. 211-212"	"периодика"
"14"	1822	"Parisina"	"Поэмы"	"Николай Бестужев"	"БестужевНА"	"Паризина, историческое происшествие (Из Лорда Байрона)"	"NA"	"проза"	"NA"	"Соревнователь"	"NA"	"Ч. 17. Кн. 3"	"С. 290-310"	"периодика"
"15"	1822	"Darkness"	"Стихи"	"Фед. - Глин. -"	"ГлинкаФН"	"Тьма (Из Байрона) [в прозе]"	"NA"	"проза"	"NA"	"Соревнователь"	"NA"	"Ч. 17. Кн. 2"	"С. 159-164"	"периодика"
"16"	1822	"The Harp the Monarch Minstrel Swept"	"Стихи; Еврейские мелодии"	"Н. Г-ча"	"ГнедичНИ"	"Арфа Давида (Подражание Байрону)"	"Разорваны струны на арфе забвенной"	"NA"	"да"	"Вестник Европы"	"NA"	"Ч. 112. № 3"	"С. 176-177"	"периодика"
"515"	1822	"Stanzas for Music"	"Стихи"	"Ж."	"ЖуковскийВА"	"Песня"	"Отнимает наши радости"	"стихи"	"NA"	"Сын отечества"	"NA"	"Ч. 77. № 15"	"С. 35-36"	"периодика"
"17"	1822	"Lines Written in an Album at Malta"	"Стихи"	"И. Козлов"	"КозловИИ"	"К С-е"	"Когда над сонною рекой"	"стихи"	"да"	"Новости литературы"	"NA"	"Кн. 1. № 12"	"С. 191-192"	"периодика"
"18"	1822	"Darkness"	"Стихи"	"О. Сомов"	"СомовОМ"	"Мрак. Пер. с фр. О. Сомова [в прозе]"	"NA"	"проза"	"NA"	"Благонамеренный"	"NA"	"Ч. 17. № 3"	"С. 122-126"	"периодика"
"19"	1822	"NA"	"Стихи"	"М-л Яковлев"	"ЯковлевМА"	"К Лине (Подражание Лорду Байрону)"	"В часы любви, в часы забав"	"стихи"	"да"	"Благонамеренный"	"NA"	"Ч. 17. № 9"	"С. 353"	"периодика"
"20"	1823	"Lines Written in an Album at Malta"	"Стихи"	"Князь Вяземский"	"ВяземскийПА"	"Стихи в альбом, из Байрона"	"Как надпись хладная на камне гробовом"	"стихи"	"да"	"Дамский журнал"	"NA"	"Ч. 1. № 1"	"С. 29"	"периодика"
"21"	1823	"The Harp the Monarch Minstrel Swept"	"Стихи; Еврейские мелодии"	"Н. Г-ч"	"ГнедичНИ"	"Арфа Давида"	"Разорваны струны на арфе забвенной"	"NA"	"да"	"Новые Аониды на 1823"	"NA"	"NA"	"С. 3-4"	"периодика"
"22"	1823	"The Prisoner of Chillon"	"Поэмы"	"б.п.; в оглавлении: Жуковский"	"ЖуковскийВА"	"Младший брат Бонивара: Из Шильонского узника"	"Из нас троих я старший был!"	"стихи"	"да"	"Новые Аониды на 1823"	"NA"	"NA"	"С. 110-111"	"периодика"
"23"	1823	"The Prisoner of Chillon"	"Поэмы"	"б.п.; в оглавлении: Жуковский"	"ЖуковскийВА"	"Смерть младшего брата: Из Ш. узника"	"Но он - наш милый, лучший цвет"	"стихи"	"да"	"Новые Аониды на 1823"	"NA"	"NA"	"С. 113-118"	"периодика"
"24"	1823	"The Prisoner of Chillon"	"Поэмы"	"б.п.; в оглавлении: Жуковский"	"ЖуковскийВА"	"Воздушный гость  Бонивара: Из Ш.узника"	"Вдруг луч незапный посетил"	"стихи"	"да"	"Новые Аониды на 1823"	"NA"	"NA"	"С. 125-127"	"периодика"
"25"	1823	"The Prisoner of Chillon"	"Поэмы"	"б.п.; в оглавлении: Жуковский"	"ЖуковскийВА"	"Взгляд узника на небо: Из Ш. узника"	"Мир стал чужой мне; жизнь пуста!"	"стихи"	"да"	"Новые Аониды на 1823"	"NA"	"NA"	"С. 134-136"	"периодика"
