author	title	comment	curriculum	id	year	grade	priority
"Андреев Л.Н."	"Жили-были"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Андреев Л.Н."	"Иуда"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Андреев Л.Н."	"Рассказ о семи повешенных"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Бальмонт К.Д."	""	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Брюсов В.Я."	""	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Герцен А.И."	"Кто виноват?"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Вечера на Хуторе близ Диканьки"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Вий"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Женитьба"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Мертвые души"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Повесть о том, как поссорились Иван Иванович с Иваном Никифоровичем"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Портрет"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Ревизор"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Старосветские помещики"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Тарас Бульба"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гоголь Н.В."	"Шинель"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гончаров И.А."	"Обломов"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гончаров И.А."	"Обрыв"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Гончаров И.А."	"Обыкновенная история"	""	"19 ИРЛ 2 ст"	1	"1919"	8	"*"
"Горький М."	"Бывшие люди"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Горький М."	"Детство"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Горький М."	"Мать"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Горький М."	"Мещане"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Горький М."	"На дне"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Горький М."	"Песня о буревестнике"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Горький М."	"Песня о соколе"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Горький М."	"Челкаш"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Грибоедов А.С."	"Горе от ума"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Державин Г.Р."	"Бог"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Державин Г.Р."	"Вельможа"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Державин Г.Р."	"Видение мурзы"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Державин Г.Р."	"На смерть князя Мещерского"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Державин Г.Р."	"Памятник"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Державин Г.Р."	"Фелица"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Державин Г.Р."	"Жизнь Званская"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Достоевский Ф.М."	"Бедные люди"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Достоевский Ф.М."	"Братья Карамазовы"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Достоевский Ф.М."	"Преступление и наказание"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Достоевский Ф.М."	"Речь на юбилее Пушкина"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Жуковский В.А."	"Камоэнс"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Жуковский В.А."	"Море"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Жуковский В.А."	"Переводные баллады"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Жуковский В.А."	"Светлана"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Жуковский В.А."	"Сельское кладбище"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Жуковский В.А."	"Теон и Эсхин"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Жуковский В.А."	"Эолова арфа"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Новиков Н.И."	"Журнальная деятельность. Трутень. Живописец"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Златовратский Н.Н."	"Золотые сердца"	"отрывки"	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Златовратский Н.Н."	"Устои"	"отрывки"	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Кантемир А.Д."	"На хулящих учение"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Карамзин Н.М."	"Бедная Лиза"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Карамзин Н.М."	"Вестник Европы"	""	"19 ИРЛ 2 ст"	1	"1919"	7	"*"
"Карамзин Н.М."	"Письма русского путешественника"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Карамзин Н.М."	"Что нужно автору"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Кольцов А.В."	""	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Короленко В.Г."	"Без языка"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Короленко В.Г."	"Лес шумит"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Короленко В.Г."	"Река играет"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Короленко В.Г."	"Слепой музыкант"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Короленко В.Г."	"Сон Макара"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Крылов И.А."	"Басни"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Лермонтов М.Ю."	"Герой нашего времени"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Лермонтов М.Ю."	"Демон"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Лермонтов М.Ю."	"Лирика"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Лермонтов М.Ю."	"Мцыри"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Лермонтов М.Ю."	"Песня о купце Калашникове"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Лесков Н.С."	"Запечатленный ангел"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Лесков Н.С."	"На краю света"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Лесков Н.С."	"Очарованный странник"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Лесков Н.С."	"Соборяне"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Ломоносов М.В."	"Вечернее размышление"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Ломоносов М.В."	"Ода на день восшествия на престол императрицы Елизаветы Петровны"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Некрасов Н.А."	""	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Островский А.Н."	"Бедность не порок"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Островский А.Н."	"Гроза"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Островский А.Н."	"Доходное место"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Островский А.Н."	"Свои люди - сочтемся"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Островский А.Н."	"Снегурочка"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Стихотворения, в которых выражаются взгляды на поэта и поэзию"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Бахчисарайский фонтан"	""	"19 ИРЛ 2 ст"	1	"1919"	8	"*"
"Пушкин А.С."	"Борис Годунов"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Евгений Онегин"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Кавказский пленник"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Капитанская дочка"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Лирика"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Медный всадник"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Повести Белкина"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Полтава"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Скупой рыцарь"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Пушкин А.С."	"Цыганы"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Радищев А.Н."	"Путешествие из Петербурга в Москву"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
""	"Интимная лирика XVII века"	""	"19 ИРЛ 2 ст"	1	"1919"	7	""
"Салтыков-Щедрин М.Е."	"Господа Головлевы"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Салтыков-Щедрин М.Е."	"Сказки"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Толстой А.К."	"Трилогия"	"можно ограничиться одной трагедией"	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Толстой Л.Н."	"Власть тьмы"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Толстой Л.Н."	"Война и мир"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Толстой Л.Н."	"Детство. Отрочество. Юность"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Толстой Л.Н."	"Исповедь"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Толстой Л.Н."	"Хаджи-Мурат"	""	"19 ИРЛ 2 ст"	1	"1919"	9	""
"Толстой Л.Н."	"Холстомер"	""	"19 ИРЛ 2 ст"	1	"1919"	9	"*"
"Тургенев И.С."	"Дворянское гнездо"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Тургенев И.С."	"Записки охотника"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Тургенев И.С."	"Накануне"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Тургенев И.С."	"Новь"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Тургенев И.С."	"Отцы и дети"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
"Тургенев И.С."	"Рудин"	""	"19 ИРЛ 2 ст"	1	"1919"	8	""
