"Булгаков_БелаяГвардия" "Булгаков_МастериМаргарита" "Иванов_Бронепоезд1469" "Иванов_ГолубыеПески" "Крюков_ГруппаБ" "Крюков_Зыбь" "Крюков_КисточникуИсцелений" "Крюков_Мать" "Крюков_Шквал" "Леонов_Барсуки" "Леонов_Вор" "Островский_КакЗакалялась1" "Островский_КакЗакалялась2" "Платонов_Котлован" "Платонов_Чевенгур" "Платонов_ЮвенильноеМоре" "Севский_ДонНаКостылях" "Серафимович_ЖелезныйПоток1" "Серафимович_ЖелезныйПоток2" "Фадеев_Разгром" "Фурманов_Чапаев" "Шолохов_ДонскиеРассказы" "Шолохов_ОниСражалисьЗаРодину" "Шолохов_ПоднятаяЦелина1" "Шолохов_ПоднятаяЦелина2" "Шолохов_СудьбаЧеловека" "Dubia_ТихийДон1" "Dubia_ТихийДон2" "Dubia_ТихийДон3" "Dubia_ТихийДон4"
"и" 4.86646801637472 4.39868030816208 4.34965202783777 3.70716156210862 4.31876061120543 4.54669331395349 5.46252927400468 4.03897754554442 4.43354031872856 4.26600395974262 3.43042543108162 3.076749690071 3.26445209791505 4.51914967865763 4.50462123175261 4.43332455447283 3.86882580120604 4.34082162355679 4.14933549761591 4.32709368346345 4.25493456727641 3.44700757445146 4.03141361256545 3.49951529591064 3.73400852878465 4.55163659443286 2.88429953482458 2.78171657352573 3.29575815247228 3.50814306865113
"в" 3.34735024645632 3.19568994261446 2.20782337413007 2.70294887851531 2.83319185059423 2.37100290697674 2.54683840749415 2.48552464341195 2.42737418038126 2.55630259033163 2.89088986912617 2.60340358390623 2.93485908973077 2.55619856341059 2.46696035242291 2.91897111754894 3.71298868487025 2.22411169784301 2.34351222481485 2.36426543647977 2.54259754657412 2.59301403399883 1.9413612565445 2.28462017044221 2.23347547974414 2.73823556079427 2.72111726871033 2.5377429310201 2.5161951469458 2.18577105898855
"на" 1.85329583112869 1.75841917764947 2.06983441324694 1.82397813958784 1.55984719864177 1.59429505813953 1.7096018735363 1.78647083745234 1.45902991879804 1.77775944563603 1.93264138071108 2.06694466358616 1.98126134133244 1.66051123971268 1.65327805130863 1.73821437977351 2.52049596856156 1.66472746800322 1.52176118494471 1.56139105748758 1.5665292940978 2.25394526625519 1.94973821989529 1.93881635743671 1.94474058280028 2.32115332305739 2.31422122852935 2.02894319793144 2.17124766680086 2.0712226291592
"не" 1.49405441532763 1.77772318059772 1.71586273098152 1.63725378572242 1.49087436332767 1.94404069767442 1.1768149882904 1.83589888433837 1.78470623995831 1.82622504537205 2.13470682283339 1.76265073819452 1.71647594711699 1.91060575217379 2.12144769802194 1.37828109911334 1.53804458296633 1.55285062203526 1.66379222887288 2.26002484031228 2.02684790205577 1.48960380676528 2.15916230366492 2.1399323825738 2.36140724946695 2.03100915767522 1.28744450213514 1.36479272666611 1.52161182886213 2.19356346918102
"с" 1.14734467682197 1.14771072074127 1.06791456683465 0.917681885460549 1.43781833616299 1.24000726744186 1.44028103044496 1.34867956503319 1.04216422771288 1.04974426662267 1.31863324601468 1.38397385326271 1.30726215605673 0.831709657719487 0.868100544182431 0.741813712580107 0.907920590825937 1.33804707777678 1.3137871563356 1.39504968062456 1.08452028052925 1.28501316046573 1.18534031413613 1.26698272910105 1.26154939587775 1.19684468220147 1.34042575736704 1.31474685128034 1.38802474106064 1.38237356814463
"а" 0.880002227853741 0.854640857799695 1.72786177105832 1.19776841625868 0.673811544991511 1.0265261627907 1.33489461358314 0.826154497952267 0.898866646402362 1.21988945718528 0.891587724003604 0.827228671249859 0.772136429285635 1.21848372931631 1.38464196251188 1.07541041172856 1.22637035029474 1.57075091739014 1.61306685604139 0.915986515259049 1.32672980984744 1.39075664057561 1.51623036649215 1.6909179475555 1.84790334044065 1.81340103363859 0.893263963209816 0.802819250980065 1.05680196171723 1.19457648250604
"что" 1.17797766576624 1.67242861906183 0.425965922726182 0.507799157463281 0.726867572156197 0.753997093023256 0.562060889929742 0.847337946617709 1.39389465456598 0.79916680415773 1.06396829447393 0.96021638679139 0.977669147872459 1.10216070026463 1.06158763064697 1.16758844701958 0.779185581678976 0.32220531638772 0.502181191031754 1.58135202271114 1.19297230858217 0.642506580232866 1.11204188481675 1.00509783305923 1.08475479744136 1.26938072354701 0.680279317177583 0.809074985403286 0.715514401786041 0.896906413153588
"он" 0.78949566960929 1.01170524542407 0.557955363570914 0.726403279061824 0.6419779286927 1.19912790697674 0.895784543325527 0.727298404180201 1.03782187676408 0.863100148490348 0.697334090210763 1.03910740448552 0.890641780542903 1.2213918050426 1.20238403731537 0.750592573084014 0.453960295412968 0.326680390226439 0.476818504616009 1.94508516678495 0.713373340081459 0.391940507798582 0.908900523560209 0.888865310138273 0.950604122245913 0.834164475473751 0.634715437678149 0.792393026941363 0.72100428210665 0.93898542819294
"как" 0.70595115430672 0.776547391327238 1.04391648668107 0.806102698394626 0.67911714770798 0.794876453488372 0.573770491803279 0.90382714305889 0.99005601632724 0.79607325523841 0.822323023482296 0.613095908937225 0.507351035070177 0.599063599616134 0.498402003973396 0.671582828548854 0.420082661426926 0.595184820549539 0.674647458658821 0.907114975159688 0.876051382160846 0.780432858637058 0.982198952879581 0.959280033567567 0.994136460554371 1.13337564602412 0.6082248100622 0.687088164150471 0.764008344618087 0.854048157094989
"то" 0.651647219360049 0.939753961707878 1.13390928725702 0.765114425594899 0.445670628183362 0.799418604651163 1.14168618266979 0.748481852845643 0.851100785965522 0.879599076060056 0.79628366238406 0.459821931702919 0.505499388956783 0.59324744816355 0.550228902133541 0.474058467210956 0.420082661426926 0.554909156001074 0.52247134016435 0.800656493967353 0.92304726098378 0.624116409778973 0.720418848167539 0.76443381257144 0.775586353944563 0.70722640311905 0.616701810899304 0.651639002418884 0.591992094572338 0.701316917322528
